model,fold,params,accuracy,precision,sensitivity,specificity,f1,roc_auc,tn,fp,fn,tp
J48 unpruned,3,"{""unpruned"": true}",0.6883116883116883,0.5483870967741935,0.6296296296296297,0.72,0.5862068965517241,0.6859259259259258,36,14,10,17
J48 SMOTE,3,"{""smote"": true}",0.7012987012987013,0.5588235294117647,0.7037037037037037,0.7,0.6229508196721312,0.6796296296296296,35,15,8,19
J48 capped,3,"{""cap_outliers"": true}",0.6883116883116883,0.5483870967741935,0.6296296296296297,0.72,0.5862068965517241,0.7081481481481482,36,14,10,17
J48 five features,3,"{""feature_count"": 5}",0.7402597402597403,0.64,0.5925925925925926,0.82,0.6153846153846154,0.7825925925925926,41,9,11,16
J48,4,"{""smote"": false, ""cap_outliers"": true, ""feature_count"": 8, ""confidence"": 0.4, ""min_leaf"": 20}",0.8311688311688312,0.7333333333333333,0.8148148148148148,0.84,0.7719298245614035,0.9181481481481482,42,8,5,22
Naive Bayes,4,"{""smote"": true, ""cap_outliers"": true, ""feature_count"": 8, ""smoothing"": 1e-07}",0.8571428571428571,0.7857142857142857,0.8148148148148148,0.88,0.8,0.9385185185185185,44,6,5,22
Logistic Regression,4,"{""smote"": true, ""cap_outliers"": true, ""feature_count"": 8, ""c"": 0.1}",0.9090909090909091,0.9166666666666666,0.8148148148148148,0.96,0.8627450980392157,0.9274074074074073,48,2,5,22
J48 reference,4,{},0.8181818181818182,0.7241379310344828,0.7777777777777778,0.84,0.75,0.8377777777777777,42,8,6,21
J48 zeros untreated,4,"{""zero_missing"": false}",0.8571428571428571,0.8076923076923077,0.7777777777777778,0.9,0.7924528301886793,0.9111111111111112,45,5,6,21
J48 unpruned,4,"{""unpruned"": true}",0.8181818181818182,0.7241379310344828,0.7777777777777778,0.84,0.75,0.8377777777777777,42,8,6,21
J48 SMOTE,4,"{""smote"": true}",0.7662337662337663,0.6285714285714286,0.8148148148148148,0.74,0.7096774193548387,0.8403703703703703,37,13,5,22
J48 capped,4,"{""cap_outliers"": true}",0.8051948051948052,0.7307692307692307,0.7037037037037037,0.86,0.7169811320754716,0.8214814814814815,43,7,8,19
J48 five features,4,"{""feature_count"": 5}",0.7922077922077922,0.7037037037037037,0.7037037037037037,0.84,0.7037037037037037,0.9022222222222223,42,8,8,19
J48,5,"{""smote"": true, ""cap_outliers"": false, ""feature_count"": 8, ""confidence"": 0.4, ""min_leaf"": 20}",0.7012987012987013,0.5555555555555556,0.7407407407407407,0.68,0.6349206349206349,0.7551851851851851,34,16,7,20
Naive Bayes,5,"{""smote"": true, ""cap_outliers"": true, ""feature_count"": 8, ""smoothing"": 1e-08}",0.7402597402597403,0.6,0.7777777777777778,0.72,0.6774193548387096,0.8451851851851852,36,14,6,21
Logistic Regression,5,"{""smote"": true, ""cap_outliers"": true, ""feature_count"": 8, ""c"": 1.0}",0.7792207792207793,0.65625,0.7777777777777778,0.78,0.711864406779661,0.8318518518518518,39,11,6,21
J48 reference,5,{},0.8051948051948052,0.7,0.7777777777777778,0.82,0.7368421052631579,0.8581481481481481,41,9,6,21
J48 zeros untreated,5,"{""zero_missing"": false}",0.8051948051948052,0.75,0.6666666666666666,0.88,0.7058823529411765,0.8025925925925925,44,6,9,18
J48 unpruned,5,"{""unpruned"": true}",0.8051948051948052,0.7,0.7777777777777778,0.82,0.7368421052631579,0.8303703703703703,41,9,6,21
J48 SMOTE,5,"{""smote"": true}",0.7012987012987013,0.55,0.8148148148148148,0.64,0.6567164179104478,0.7737037037037036,32,18,5,22
J48 capped,5,"{""cap_outliers"": true}",0.8181818181818182,0.7241379310344828,0.7777777777777778,0.84,0.75,0.8733333333333333,42,8,6,21
J48 five features,5,"{""feature_count"": 5}",0.7792207792207793,0.6470588235294118,0.8148148148148148,0.76,0.7213114754098361,0.8748148148148148,38,12,5,22
J48,6,"{""smote"": true, ""cap_outliers"": true, ""feature_count"": 5, ""confidence"": 0.4, ""min_leaf"": 10}",0.7792207792207793,0.6388888888888888,0.8518518518518519,0.74,0.7301587301587301,0.8255555555555555,37,13,4,23
